aoi,acquisition_date,uvai_mean,uvai_quartile,v4_flag
diriyah_gate,2020-01-31,-0.101710,Q1,False
diriyah_gate,2020-02-15,-0.498776,Q1,False
diriyah_gate,2020-03-01,+0.498572,Q2_Q3,False
diriyah_gate,2020-04-25,+0.083917,Q1,False
diriyah_gate,2020-05-30,+0.456678,Q2_Q3,False
diriyah_gate,2020-06-04,+0.557947,Q2_Q3,False
diriyah_gate,2020-07-04,-0.333065,Q1,False
diriyah_gate,2020-08-03,-0.198808,Q1,False
diriyah_gate,2020-09-12,-0.144369,Q1,False
diriyah_gate,2020-10-02,-0.384495,Q1,False
diriyah_gate,2020-11-11,-0.503487,Q1,False
diriyah_gate,2020-12-11,-0.610143,Q1,False
diriyah_gate,2021-01-05,-1.180285,Q1,False
diriyah_gate,2021-02-14,-0.706953,Q1,False
diriyah_gate,2021-03-31,+0.126703,Q1,False
diriyah_gate,2021-04-20,+0.501156,Q2_Q3,False
diriyah_gate,2021-05-05,-0.281609,Q1,False
diriyah_gate,2021-06-14,+0.384986,Q1,True
diriyah_gate,2021-07-24,+1.406604,Q2_Q3,False
diriyah_gate,2021-08-03,+1.851271,Q4,False
diriyah_gate,2021-09-07,+0.690446,Q2_Q3,False
diriyah_gate,2021-10-27,+1.570675,Q4,False
diriyah_gate,2021-11-21,+0.419824,Q1,False
diriyah_gate,2021-12-01,+0.616029,Q2_Q3,False
diriyah_gate,2022-01-10,+1.223876,Q2_Q3,False
diriyah_gate,2022-02-04,+1.227793,Q2_Q3,False
diriyah_gate,2022-03-16,+1.614811,Q4,False
diriyah_gate,2022-04-10,+2.018439,Q4,True
diriyah_gate,2022-05-10,+2.293453,Q4,True
diriyah_gate,2022-06-09,+1.589617,Q4,True
diriyah_gate,2022-07-04,+1.506923,Q4,True
diriyah_gate,2022-08-18,+1.973487,Q4,False
diriyah_gate,2022-09-07,+1.303098,Q2_Q3,False
diriyah_gate,2022-10-12,+0.837758,Q2_Q3,False
diriyah_gate,2022-11-21,+0.730383,Q2_Q3,False
diriyah_gate,2022-12-11,+0.142654,Q1,False
diriyah_gate,2023-01-20,+0.729752,Q2_Q3,False
diriyah_gate,2023-02-24,+0.879969,Q2_Q3,False
diriyah_gate,2023-03-16,+1.092008,Q2_Q3,False
diriyah_gate,2023-04-30,+1.594009,Q4,False
diriyah_gate,2023-05-05,+1.566040,Q4,False
diriyah_gate,2023-07-19,+1.256783,Q2_Q3,False
diriyah_gate,2023-08-18,+0.799656,Q2_Q3,False
diriyah_gate,2023-09-12,+1.102374,Q2_Q3,False
diriyah_gate,2023-10-02,+1.059433,Q2_Q3,False
diriyah_gate,2023-11-21,+0.190711,Q1,False
diriyah_gate,2023-12-01,+0.566295,Q2_Q3,False
diriyah_gate,2024-01-05,+0.608046,Q2_Q3,False
diriyah_gate,2024-02-29,+0.978154,Q2_Q3,False
diriyah_gate,2024-03-10,+2.066712,Q4,False
diriyah_gate,2024-04-04,+0.616870,Q2_Q3,False
diriyah_gate,2024-05-19,+1.729149,Q4,False
diriyah_gate,2024-06-23,+1.084606,Q2_Q3,False
diriyah_gate,2024-07-08,+1.410834,Q2_Q3,False
diriyah_gate,2024-08-02,+1.637985,Q4,False
diriyah_gate,2024-09-16,+0.998297,Q2_Q3,False
diriyah_gate,2024-10-01,+1.239715,Q2_Q3,False
diriyah_gate,2024-11-05,+0.764606,Q2_Q3,False
diriyah_gate,2024-12-25,+0.387310,Q1,False
diriyah_gate,2025-01-19,+0.699182,Q2_Q3,False
diriyah_gate,2025-02-08,+1.224197,Q2_Q3,False
diriyah_gate,2025-03-15,+0.721109,Q2_Q3,False
diriyah_gate,2025-04-24,+1.618254,Q4,False
diriyah_gate,2025-05-09,+2.090577,Q4,True
diriyah_gate,2025-06-05,+1.498540,Q2_Q3,True
diriyah_gate,2025-07-03,+1.665487,Q4,True
diriyah_gate,2025-08-04,+1.601106,Q4,False
diriyah_gate,2025-09-21,+1.211281,Q2_Q3,False
diriyah_gate,2025-10-11,+0.905479,Q2_Q3,False
diriyah_gate,2025-11-25,+0.760517,Q2_Q3,False
diriyah_gate,2025-12-30,+0.988738,Q2_Q3,False
diriyah_gate,2026-01-04,+0.646036,Q2_Q3,False
diriyah_gate,2026-02-13,+1.065126,Q2_Q3,False
diriyah_gate,2026-03-25,+1.704957,Q4,False
king_salman_park,2020-01-31,-0.102712,Q1,False
king_salman_park,2020-02-15,-0.318125,Q1,False
king_salman_park,2020-03-01,+0.826417,Q2_Q3,False
king_salman_park,2020-04-25,+0.229607,Q1,False
king_salman_park,2020-05-30,+0.823223,Q2_Q3,False
king_salman_park,2020-06-04,+0.794353,Q2_Q3,False
king_salman_park,2020-07-04,-0.290838,Q1,False
king_salman_park,2020-08-03,+0.203026,Q1,False
king_salman_park,2020-09-12,-0.057564,Q1,False
king_salman_park,2020-10-02,-0.366406,Q1,False
king_salman_park,2020-12-11,-0.533685,Q1,False
king_salman_park,2021-01-05,-1.134906,Q1,False
king_salman_park,2021-02-04,+0.031911,Q1,False
king_salman_park,2021-03-31,+0.428756,Q1,False
king_salman_park,2021-04-20,+0.899032,Q2_Q3,False
king_salman_park,2021-05-05,-0.108211,Q1,False
king_salman_park,2021-06-14,+0.907406,Q2_Q3,True
king_salman_park,2021-07-24,+1.646316,Q4,False
king_salman_park,2021-08-23,+0.980225,Q2_Q3,False
king_salman_park,2021-09-07,+1.137859,Q2_Q3,False
king_salman_park,2021-10-27,+1.531743,Q2_Q3,False
king_salman_park,2021-11-21,+0.598813,Q1,False
king_salman_park,2021-12-01,+0.776866,Q2_Q3,False
king_salman_park,2022-01-10,+1.513188,Q2_Q3,False
king_salman_park,2022-02-19,+1.731072,Q4,False
king_salman_park,2022-03-16,+1.779696,Q4,False
king_salman_park,2022-04-30,+1.778422,Q4,False
king_salman_park,2022-05-10,+2.630188,Q4,False
king_salman_park,2022-06-09,+1.744333,Q4,True
king_salman_park,2022-07-04,+1.623861,Q4,True
king_salman_park,2022-08-03,+1.769253,Q4,False
king_salman_park,2022-09-07,+1.415770,Q2_Q3,True
king_salman_park,2022-10-12,+1.207525,Q2_Q3,False
king_salman_park,2022-11-21,+0.813357,Q2_Q3,False
king_salman_park,2022-12-11,+0.311438,Q1,False
king_salman_park,2023-01-20,+1.261845,Q2_Q3,False
king_salman_park,2023-02-14,+1.539691,Q2_Q3,False
king_salman_park,2023-03-16,+1.445922,Q2_Q3,False
king_salman_park,2023-04-30,+1.827927,Q4,False
king_salman_park,2023-05-05,+1.857465,Q4,True
king_salman_park,2023-07-09,+1.887860,Q4,True
king_salman_park,2023-08-18,+1.036684,Q2_Q3,True
king_salman_park,2023-09-12,+1.298845,Q2_Q3,True
king_salman_park,2023-10-02,+1.201410,Q2_Q3,True
king_salman_park,2023-11-21,+0.512441,Q1,False
king_salman_park,2023-12-01,+0.772903,Q1,False
king_salman_park,2024-01-05,+0.702303,Q1,False
king_salman_park,2024-02-24,+1.585146,Q2_Q3,False
king_salman_park,2024-03-10,+2.309181,Q4,True
king_salman_park,2024-04-04,+0.915987,Q2_Q3,False
king_salman_park,2024-05-04,+1.879110,Q4,True
king_salman_park,2024-06-23,+1.072873,Q2_Q3,True
king_salman_park,2024-07-08,+1.757441,Q4,True
king_salman_park,2024-08-02,+2.309244,Q4,True
king_salman_park,2024-09-16,+0.938252,Q2_Q3,True
king_salman_park,2024-10-01,+1.612626,Q2_Q3,True
king_salman_park,2024-11-05,+0.969808,Q2_Q3,False
king_salman_park,2024-12-25,+0.707389,Q1,False
king_salman_park,2025-01-19,+0.973253,Q2_Q3,False
king_salman_park,2025-02-08,+1.413402,Q2_Q3,False
king_salman_park,2025-03-15,+1.151231,Q2_Q3,False
king_salman_park,2025-04-09,+1.548271,Q2_Q3,True
king_salman_park,2025-05-09,+2.051040,Q4,True
king_salman_park,2025-06-05,+1.568604,Q2_Q3,True
king_salman_park,2025-07-03,+1.842065,Q4,True
king_salman_park,2025-08-12,+0.858883,Q2_Q3,True
king_salman_park,2025-09-21,+1.105891,Q2_Q3,True
king_salman_park,2025-10-11,+0.885305,Q2_Q3,True
king_salman_park,2025-11-25,+0.828655,Q2_Q3,False
king_salman_park,2025-12-30,+1.158079,Q2_Q3,False
king_salman_park,2026-01-04,+0.774883,Q2_Q3,False
king_salman_park,2026-02-13,+1.500136,Q2_Q3,False
king_salman_park,2026-03-25,+1.893704,Q4,False
qiddiya_core,2020-01-31,-0.230168,Q1,False
qiddiya_core,2020-02-15,-0.243566,Q1,False
qiddiya_core,2020-03-01,+0.647180,Q2_Q3,False
qiddiya_core,2020-04-25,+0.211722,Q1,True
qiddiya_core,2020-05-30,+0.768802,Q2_Q3,True
qiddiya_core,2020-06-04,+0.801609,Q2_Q3,True
qiddiya_core,2020-07-04,-0.404837,Q1,True
qiddiya_core,2020-08-03,+0.133440,Q1,True
qiddiya_core,2020-09-12,-0.069834,Q1,True
qiddiya_core,2020-10-02,-0.363468,Q1,True
qiddiya_core,2020-11-11,-0.107597,Q1,True
qiddiya_core,2020-12-11,-0.623942,Q1,False
qiddiya_core,2021-01-05,-0.916490,Q1,False
qiddiya_core,2021-02-14,-0.303047,Q1,True
qiddiya_core,2021-03-31,+0.437392,Q1,True
qiddiya_core,2021-04-20,+0.800635,Q2_Q3,True
qiddiya_core,2021-05-05,-0.118283,Q1,True
qiddiya_core,2021-06-14,+0.502545,Q1,True
qiddiya_core,2021-07-09,+1.994063,Q4,True
qiddiya_core,2021-08-23,+0.929901,Q2_Q3,True
qiddiya_core,2021-09-07,+1.007445,Q2_Q3,True
qiddiya_core,2021-10-27,+1.631078,Q4,True
qiddiya_core,2021-11-21,+0.550848,Q1,True
qiddiya_core,2021-12-01,+1.067930,Q2_Q3,True
qiddiya_core,2022-01-10,+1.409048,Q2_Q3,False
qiddiya_core,2022-02-04,+1.245834,Q2_Q3,False
qiddiya_core,2022-03-16,+1.675599,Q4,True
qiddiya_core,2022-04-30,+1.595861,Q2_Q3,True
qiddiya_core,2022-05-10,+2.428551,Q4,True
qiddiya_core,2022-06-09,+1.726548,Q4,True
qiddiya_core,2022-07-04,+1.569191,Q2_Q3,True
qiddiya_core,2022-08-03,+1.621339,Q2_Q3,True
qiddiya_core,2022-09-07,+1.310465,Q2_Q3,True
qiddiya_core,2022-10-12,+0.970051,Q2_Q3,True
qiddiya_core,2022-11-21,+0.797794,Q2_Q3,True
qiddiya_core,2022-12-11,+0.111891,Q1,False
qiddiya_core,2023-01-20,+1.051729,Q2_Q3,False
qiddiya_core,2023-02-24,+1.025468,Q2_Q3,True
qiddiya_core,2023-03-16,+1.171206,Q2_Q3,False
qiddiya_core,2023-04-30,+1.649940,Q4,True
qiddiya_core,2023-05-05,+1.616595,Q2_Q3,True
qiddiya_core,2023-07-09,+1.720049,Q4,True
qiddiya_core,2023-08-18,+1.136437,Q2_Q3,True
qiddiya_core,2023-09-12,+1.485075,Q2_Q3,True
qiddiya_core,2023-10-02,+1.263921,Q2_Q3,True
qiddiya_core,2023-11-21,+0.345654,Q1,False
qiddiya_core,2023-12-01,+0.972576,Q2_Q3,False
qiddiya_core,2024-01-05,+0.631083,Q2_Q3,False
qiddiya_core,2024-02-29,+1.372613,Q2_Q3,True
qiddiya_core,2024-03-10,+2.204235,Q4,True
qiddiya_core,2024-04-24,+1.738312,Q4,True
qiddiya_core,2024-05-04,+1.644719,Q4,True
qiddiya_core,2024-06-23,+1.090260,Q2_Q3,True
qiddiya_core,2024-07-08,+1.610612,Q2_Q3,True
qiddiya_core,2024-08-02,+1.933936,Q4,True
qiddiya_core,2024-09-16,+1.039618,Q2_Q3,True
qiddiya_core,2024-10-01,+1.464651,Q2_Q3,True
qiddiya_core,2024-11-05,+0.965955,Q2_Q3,True
qiddiya_core,2024-12-15,+0.332430,Q1,True
qiddiya_core,2025-01-19,+0.999996,Q2_Q3,False
qiddiya_core,2025-02-08,+1.268715,Q2_Q3,True
qiddiya_core,2025-03-30,+1.673816,Q4,True
qiddiya_core,2025-04-09,+1.599615,Q2_Q3,True
qiddiya_core,2025-05-09,+2.137467,Q4,True
qiddiya_core,2025-06-05,+1.538470,Q2_Q3,True
qiddiya_core,2025-07-03,+1.943706,Q4,True
qiddiya_core,2025-08-04,+1.905079,Q4,True
qiddiya_core,2025-09-01,+1.789513,Q4,True
qiddiya_core,2025-10-11,+1.059573,Q2_Q3,True
qiddiya_core,2025-11-25,+1.301956,Q2_Q3,True
qiddiya_core,2025-12-30,+1.147809,Q2_Q3,False
qiddiya_core,2026-01-29,+1.665759,Q4,False
qiddiya_core,2026-02-13,+1.470047,Q2_Q3,False
qiddiya_core,2026-03-25,+1.745775,Q4,False
