aoi,acquisition_date,merra2_duexttau_550,cams_total_aod_550,merra2_n_images_used,cams_n_images_used,merra2_window_min_utc,merra2_window_max_utc,cams_window_min_utc,cams_window_max_utc
king_salman_park,2020-01-31,0.091253,0.284073,2,20,2020-01-31T07:00,2020-01-31T08:00,2020-01-31T06:00,2020-01-31T09:00
king_salman_park,2020-02-15,0.078516,0.114282,2,20,2020-02-15T07:00,2020-02-15T08:00,2020-02-15T06:00,2020-02-15T09:00
king_salman_park,2020-03-01,0.426127,0.642807,2,20,2020-03-01T07:00,2020-03-01T08:00,2020-03-01T06:00,2020-03-01T09:00
king_salman_park,2020-04-25,0.175520,0.390782,2,20,2020-04-25T07:00,2020-04-25T08:00,2020-04-25T06:00,2020-04-25T09:00
king_salman_park,2020-05-30,0.359564,0.514603,2,20,2020-05-30T07:00,2020-05-30T08:00,2020-05-30T06:00,2020-05-30T09:00
king_salman_park,2020-06-04,0.450698,0.353565,2,20,2020-06-04T07:00,2020-06-04T08:00,2020-06-04T06:00,2020-06-04T09:00
king_salman_park,2020-07-04,0.208158,0.430179,2,20,2020-07-04T07:00,2020-07-04T08:00,2020-07-04T06:00,2020-07-04T09:00
king_salman_park,2020-08-03,0.186489,0.611696,2,20,2020-08-03T07:00,2020-08-03T08:00,2020-08-03T06:00,2020-08-03T09:00
king_salman_park,2020-09-12,0.268543,0.471136,2,20,2020-09-12T07:00,2020-09-12T08:00,2020-09-12T06:00,2020-09-12T09:00
king_salman_park,2020-10-02,0.161130,0.271822,2,20,2020-10-02T07:00,2020-10-02T08:00,2020-10-02T06:00,2020-10-02T09:00
king_salman_park,2020-11-23,0.115930,0.313411,2,20,2020-11-23T07:00,2020-11-23T08:00,2020-11-23T06:00,2020-11-23T09:00
king_salman_park,2020-12-11,0.109612,0.237195,2,18,2020-12-11T07:00,2020-12-11T08:00,2020-12-11T06:00,2020-12-11T09:00
king_salman_park,2021-01-05,0.146169,0.467105,2,20,2021-01-05T07:00,2021-01-05T08:00,2021-01-05T06:00,2021-01-05T09:00
king_salman_park,2021-02-04,0.183033,0.305640,2,20,2021-02-04T07:00,2021-02-04T08:00,2021-02-04T06:00,2021-02-04T09:00
king_salman_park,2021-03-31,0.501718,0.451682,2,20,2021-03-31T07:00,2021-03-31T08:00,2021-03-31T06:00,2021-03-31T09:00
king_salman_park,2021-04-20,0.433358,0.569196,2,20,2021-04-20T07:00,2021-04-20T08:00,2021-04-20T06:00,2021-04-20T09:00
king_salman_park,2021-05-05,0.270725,0.425149,2,20,2021-05-05T07:00,2021-05-05T08:00,2021-05-05T06:00,2021-05-05T09:00
king_salman_park,2021-06-14,0.272891,0.385572,2,20,2021-06-14T07:00,2021-06-14T08:00,2021-06-14T06:00,2021-06-14T09:00
king_salman_park,2021-07-24,0.360492,0.643375,2,20,2021-07-24T07:00,2021-07-24T08:00,2021-07-24T06:00,2021-07-24T09:00
king_salman_park,2021-08-23,0.259209,0.426040,2,20,2021-08-23T07:00,2021-08-23T08:00,2021-08-23T06:00,2021-08-23T09:00
king_salman_park,2021-09-07,0.254906,0.446000,2,20,2021-09-07T07:00,2021-09-07T08:00,2021-09-07T06:00,2021-09-07T09:00
king_salman_park,2021-10-27,0.226531,0.350707,2,20,2021-10-27T07:00,2021-10-27T08:00,2021-10-27T06:00,2021-10-27T09:00
king_salman_park,2021-11-21,0.261969,0.385512,2,20,2021-11-21T07:00,2021-11-21T08:00,2021-11-21T06:00,2021-11-21T09:00
king_salman_park,2021-12-01,0.075202,0.148498,2,20,2021-12-01T07:00,2021-12-01T08:00,2021-12-01T06:00,2021-12-01T09:00
king_salman_park,2022-01-10,0.091067,0.210301,2,20,2022-01-10T07:00,2022-01-10T08:00,2022-01-10T06:00,2022-01-10T09:00
king_salman_park,2022-02-19,0.249868,0.389856,2,20,2022-02-19T07:00,2022-02-19T08:00,2022-02-19T06:00,2022-02-19T09:00
king_salman_park,2022-03-16,0.509200,0.705104,2,20,2022-03-16T07:00,2022-03-16T08:00,2022-03-16T06:00,2022-03-16T09:00
king_salman_park,2022-04-30,0.241465,0.417577,2,20,2022-04-30T07:00,2022-04-30T08:00,2022-04-30T06:00,2022-04-30T09:00
king_salman_park,2022-05-10,0.635254,0.606312,2,20,2022-05-10T07:00,2022-05-10T08:00,2022-05-10T06:00,2022-05-10T09:00
king_salman_park,2022-06-09,0.210773,0.304336,2,20,2022-06-09T07:00,2022-06-09T08:00,2022-06-09T06:00,2022-06-09T09:00
king_salman_park,2022-07-04,0.177075,0.543189,2,20,2022-07-04T07:00,2022-07-04T08:00,2022-07-04T06:00,2022-07-04T09:00
king_salman_park,2022-08-03,0.457250,0.485646,2,20,2022-08-03T07:00,2022-08-03T08:00,2022-08-03T06:00,2022-08-03T09:00
king_salman_park,2022-09-07,0.344994,0.425203,2,20,2022-09-07T07:00,2022-09-07T08:00,2022-09-07T06:00,2022-09-07T09:00
king_salman_park,2022-10-12,0.165480,0.268710,2,20,2022-10-12T07:00,2022-10-12T08:00,2022-10-12T06:00,2022-10-12T09:00
king_salman_park,2022-11-21,0.083854,0.389113,2,20,2022-11-21T07:00,2022-11-21T08:00,2022-11-21T06:00,2022-11-21T09:00
king_salman_park,2022-12-11,0.059953,0.234673,2,20,2022-12-11T07:00,2022-12-11T08:00,2022-12-11T06:00,2022-12-11T09:00
king_salman_park,2023-01-20,0.040095,0.145509,2,20,2023-01-20T07:00,2023-01-20T08:00,2023-01-20T06:00,2023-01-20T09:00
king_salman_park,2023-02-14,0.191537,0.304623,2,20,2023-02-14T07:00,2023-02-14T08:00,2023-02-14T06:00,2023-02-14T09:00
king_salman_park,2023-03-16,0.210920,0.464114,2,20,2023-03-16T07:00,2023-03-16T08:00,2023-03-16T06:00,2023-03-16T09:00
king_salman_park,2023-04-30,0.083628,0.379118,2,20,2023-04-30T07:00,2023-04-30T08:00,2023-04-30T06:00,2023-04-30T09:00
king_salman_park,2023-05-05,0.571071,0.519981,2,20,2023-05-05T07:00,2023-05-05T08:00,2023-05-05T06:00,2023-05-05T09:00
king_salman_park,2023-06-24,0.395327,0.435963,2,20,2023-06-24T07:00,2023-06-24T08:00,2023-06-24T06:00,2023-06-24T09:00
king_salman_park,2023-07-09,0.198105,0.313326,2,20,2023-07-09T07:00,2023-07-09T08:00,2023-07-09T06:00,2023-07-09T09:00
king_salman_park,2023-08-18,0.577806,0.526756,2,20,2023-08-18T07:00,2023-08-18T08:00,2023-08-18T06:00,2023-08-18T09:00
king_salman_park,2023-09-12,0.295859,0.382441,2,20,2023-09-12T07:00,2023-09-12T08:00,2023-09-12T06:00,2023-09-12T09:00
king_salman_park,2023-10-02,0.164585,0.245508,2,20,2023-10-02T07:00,2023-10-02T08:00,2023-10-02T06:00,2023-10-02T09:00
king_salman_park,2023-11-21,0.202900,0.346207,2,20,2023-11-21T07:00,2023-11-21T08:00,2023-11-21T06:00,2023-11-21T09:00
king_salman_park,2023-12-01,0.188335,0.323691,2,20,2023-12-01T07:00,2023-12-01T08:00,2023-12-01T06:00,2023-12-01T09:00
king_salman_park,2024-01-05,0.124357,0.447650,2,20,2024-01-05T07:00,2024-01-05T08:00,2024-01-05T06:00,2024-01-05T09:00
king_salman_park,2024-02-24,0.265826,0.045350,2,20,2024-02-24T07:00,2024-02-24T08:00,2024-02-24T06:00,2024-02-24T09:00
king_salman_park,2024-03-10,0.462265,0.524086,2,20,2024-03-10T07:00,2024-03-10T08:00,2024-03-10T06:00,2024-03-10T09:00
king_salman_park,2024-04-04,0.132133,0.262267,2,20,2024-04-04T07:00,2024-04-04T08:00,2024-04-04T06:00,2024-04-04T09:00
king_salman_park,2024-05-04,0.141388,0.586478,2,20,2024-05-04T07:00,2024-05-04T08:00,2024-05-04T06:00,2024-05-04T09:00
king_salman_park,2024-06-23,0.211575,0.397821,2,20,2024-06-23T07:00,2024-06-23T08:00,2024-06-23T06:00,2024-06-23T09:00
king_salman_park,2024-07-08,0.167335,0.363341,2,20,2024-07-08T07:00,2024-07-08T08:00,2024-07-08T06:00,2024-07-08T09:00
king_salman_park,2024-08-02,0.249040,0.491495,2,20,2024-08-02T07:00,2024-08-02T08:00,2024-08-02T06:00,2024-08-02T09:00
king_salman_park,2024-09-16,0.157575,0.438933,2,20,2024-09-16T07:00,2024-09-16T08:00,2024-09-16T06:00,2024-09-16T09:00
king_salman_park,2024-10-01,0.264847,0.620372,2,20,2024-10-01T07:00,2024-10-01T08:00,2024-10-01T06:00,2024-10-01T09:00
king_salman_park,2024-11-05,0.102717,0.125980,2,20,2024-11-05T07:00,2024-11-05T08:00,2024-11-05T06:00,2024-11-05T09:00
king_salman_park,2024-12-25,0.164635,0.318581,2,20,2024-12-25T07:00,2024-12-25T08:00,2024-12-25T06:00,2024-12-25T09:00
king_salman_park,2025-01-19,0.123118,0.459716,2,20,2025-01-19T07:00,2025-01-19T08:00,2025-01-19T06:00,2025-01-19T09:00
king_salman_park,2025-02-08,0.084661,0.512928,2,20,2025-02-08T07:00,2025-02-08T08:00,2025-02-08T06:00,2025-02-08T09:00
king_salman_park,2025-03-15,0.094304,0.578141,2,20,2025-03-15T07:00,2025-03-15T08:00,2025-03-15T06:00,2025-03-15T09:00
king_salman_park,2025-04-09,0.383935,0.542187,2,20,2025-04-09T07:00,2025-04-09T08:00,2025-04-09T06:00,2025-04-09T09:00
king_salman_park,2025-05-09,0.404423,0.885851,2,20,2025-05-09T07:00,2025-05-09T08:00,2025-05-09T06:00,2025-05-09T09:00
king_salman_park,2025-06-05,0.451881,0.669051,2,20,2025-06-05T07:00,2025-06-05T08:00,2025-06-05T06:00,2025-06-05T09:00
king_salman_park,2025-07-03,0.343914,0.595224,2,18,2025-07-03T07:00,2025-07-03T08:00,2025-07-03T06:00,2025-07-03T09:00
king_salman_park,2025-08-12,0.534753,0.544583,2,20,2025-08-12T07:00,2025-08-12T08:00,2025-08-12T06:00,2025-08-12T09:00
king_salman_park,2025-09-21,0.309146,0.702717,2,20,2025-09-21T07:00,2025-09-21T08:00,2025-09-21T06:00,2025-09-21T09:00
king_salman_park,2025-10-11,0.238194,0.512911,2,20,2025-10-11T07:00,2025-10-11T08:00,2025-10-11T06:00,2025-10-11T09:00
king_salman_park,2025-11-25,0.077957,0.183223,2,20,2025-11-25T07:00,2025-11-25T08:00,2025-11-25T06:00,2025-11-25T09:00
king_salman_park,2025-12-30,0.090593,0.300165,2,20,2025-12-30T07:00,2025-12-30T08:00,2025-12-30T06:00,2025-12-30T09:00
king_salman_park,2026-01-04,0.229249,0.589330,2,20,2026-01-04T07:00,2026-01-04T08:00,2026-01-04T06:00,2026-01-04T09:00
king_salman_park,2026-02-13,0.157810,0.385870,2,20,2026-02-13T07:00,2026-02-13T08:00,2026-02-13T06:00,2026-02-13T09:00
king_salman_park,2026-03-25,0.315872,0.641392,2,20,2026-03-25T07:00,2026-03-25T08:00,2026-03-25T06:00,2026-03-25T09:00
king_salman_park,2026-04-18,,0.431522,0,20,,,2026-04-18T06:00,2026-04-18T09:00
qiddiya_core,2020-01-31,0.101431,0.291663,2,20,2020-01-31T07:00,2020-01-31T08:00,2020-01-31T06:00,2020-01-31T09:00
qiddiya_core,2020-02-15,0.072581,0.105475,2,20,2020-02-15T07:00,2020-02-15T08:00,2020-02-15T06:00,2020-02-15T09:00
qiddiya_core,2020-03-01,0.306498,0.539031,2,20,2020-03-01T07:00,2020-03-01T08:00,2020-03-01T06:00,2020-03-01T09:00
qiddiya_core,2020-04-25,0.144178,0.396985,2,20,2020-04-25T07:00,2020-04-25T08:00,2020-04-25T06:00,2020-04-25T09:00
qiddiya_core,2020-05-30,0.399603,0.495133,2,20,2020-05-30T07:00,2020-05-30T08:00,2020-05-30T06:00,2020-05-30T09:00
qiddiya_core,2020-06-04,0.369155,0.329718,2,20,2020-06-04T07:00,2020-06-04T08:00,2020-06-04T06:00,2020-06-04T09:00
qiddiya_core,2020-07-04,0.207578,0.416243,2,20,2020-07-04T07:00,2020-07-04T08:00,2020-07-04T06:00,2020-07-04T09:00
qiddiya_core,2020-08-03,0.188198,0.599810,2,20,2020-08-03T07:00,2020-08-03T08:00,2020-08-03T06:00,2020-08-03T09:00
qiddiya_core,2020-09-12,0.249194,0.445732,2,20,2020-09-12T07:00,2020-09-12T08:00,2020-09-12T06:00,2020-09-12T09:00
qiddiya_core,2020-10-02,0.118542,0.272239,2,20,2020-10-02T07:00,2020-10-02T08:00,2020-10-02T06:00,2020-10-02T09:00
qiddiya_core,2020-11-11,0.077393,0.153032,2,20,2020-11-11T07:00,2020-11-11T08:00,2020-11-11T06:00,2020-11-11T09:00
qiddiya_core,2020-12-11,0.125771,0.232785,2,18,2020-12-11T07:00,2020-12-11T08:00,2020-12-11T06:00,2020-12-11T09:00
qiddiya_core,2021-01-05,0.117131,0.423023,2,20,2021-01-05T07:00,2021-01-05T08:00,2021-01-05T06:00,2021-01-05T09:00
qiddiya_core,2021-02-14,0.058821,0.247314,2,20,2021-02-14T07:00,2021-02-14T08:00,2021-02-14T06:00,2021-02-14T09:00
qiddiya_core,2021-03-31,0.557382,0.457540,2,20,2021-03-31T07:00,2021-03-31T08:00,2021-03-31T06:00,2021-03-31T09:00
qiddiya_core,2021-04-20,0.417061,0.534014,2,20,2021-04-20T07:00,2021-04-20T08:00,2021-04-20T06:00,2021-04-20T09:00
qiddiya_core,2021-05-05,0.265598,0.407718,2,20,2021-05-05T07:00,2021-05-05T08:00,2021-05-05T06:00,2021-05-05T09:00
qiddiya_core,2021-06-14,0.194339,0.337876,2,20,2021-06-14T07:00,2021-06-14T08:00,2021-06-14T06:00,2021-06-14T09:00
qiddiya_core,2021-07-09,0.269056,0.434241,2,20,2021-07-09T07:00,2021-07-09T08:00,2021-07-09T06:00,2021-07-09T09:00
qiddiya_core,2021-08-23,0.228630,0.418983,2,20,2021-08-23T07:00,2021-08-23T08:00,2021-08-23T06:00,2021-08-23T09:00
qiddiya_core,2021-09-07,0.337700,0.452527,2,20,2021-09-07T07:00,2021-09-07T08:00,2021-09-07T06:00,2021-09-07T09:00
qiddiya_core,2021-10-27,0.213256,0.338521,2,20,2021-10-27T07:00,2021-10-27T08:00,2021-10-27T06:00,2021-10-27T09:00
qiddiya_core,2021-11-21,0.159858,0.394215,2,20,2021-11-21T07:00,2021-11-21T08:00,2021-11-21T06:00,2021-11-21T09:00
qiddiya_core,2021-12-01,0.051421,0.124711,2,20,2021-12-01T07:00,2021-12-01T08:00,2021-12-01T06:00,2021-12-01T09:00
qiddiya_core,2022-01-10,0.098025,0.202058,2,20,2022-01-10T07:00,2022-01-10T08:00,2022-01-10T06:00,2022-01-10T09:00
qiddiya_core,2022-02-04,0.238085,0.270296,2,20,2022-02-04T07:00,2022-02-04T08:00,2022-02-04T06:00,2022-02-04T09:00
qiddiya_core,2022-03-16,0.470504,0.674060,2,20,2022-03-16T07:00,2022-03-16T08:00,2022-03-16T06:00,2022-03-16T09:00
qiddiya_core,2022-04-30,0.215769,0.368610,2,20,2022-04-30T07:00,2022-04-30T08:00,2022-04-30T06:00,2022-04-30T09:00
qiddiya_core,2022-05-10,0.675293,0.599859,2,20,2022-05-10T07:00,2022-05-10T08:00,2022-05-10T06:00,2022-05-10T09:00
qiddiya_core,2022-06-09,0.182087,0.295948,2,20,2022-06-09T07:00,2022-06-09T08:00,2022-06-09T06:00,2022-06-09T09:00
qiddiya_core,2022-07-04,0.148480,0.506229,2,20,2022-07-04T07:00,2022-07-04T08:00,2022-07-04T06:00,2022-07-04T09:00
qiddiya_core,2022-08-03,0.352331,0.484444,2,20,2022-08-03T07:00,2022-08-03T08:00,2022-08-03T06:00,2022-08-03T09:00
qiddiya_core,2022-09-07,0.345116,0.419924,2,20,2022-09-07T07:00,2022-09-07T08:00,2022-09-07T06:00,2022-09-07T09:00
qiddiya_core,2022-10-12,0.161055,0.263402,2,20,2022-10-12T07:00,2022-10-12T08:00,2022-10-12T06:00,2022-10-12T09:00
qiddiya_core,2022-11-21,0.113807,0.374826,2,20,2022-11-21T07:00,2022-11-21T08:00,2022-11-21T06:00,2022-11-21T09:00
