aoi,acquisition_date,ndvi,ndvi_climatology,ndvi_residual,n_climatology_support,sensitivity_flag
diriyah_gate,2020-01-31,0.144931,0.156166,-0.011235,7,False
diriyah_gate,2020-02-15,0.140116,0.150748,-0.010632,7,False
diriyah_gate,2020-03-01,0.121207,0.145661,-0.024454,7,False
diriyah_gate,2020-04-25,0.116166,0.146156,-0.029990,7,False
diriyah_gate,2020-05-30,0.120953,0.125923,-0.004970,6,False
diriyah_gate,2020-06-04,0.114291,0.131181,-0.016890,6,False
diriyah_gate,2020-07-04,0.115307,0.126864,-0.011557,6,False
diriyah_gate,2020-08-03,0.113175,0.120594,-0.007419,6,False
diriyah_gate,2020-09-12,0.130115,0.130289,-0.000174,6,False
diriyah_gate,2020-10-02,0.137042,0.139679,-0.002637,6,False
diriyah_gate,2020-11-11,0.141952,0.141777,+0.000175,6,False
diriyah_gate,2020-12-11,0.152045,0.157764,-0.005719,6,False
diriyah_gate,2021-01-05,0.144297,0.156166,-0.011869,7,False
diriyah_gate,2021-02-14,0.134622,0.150748,-0.016126,7,False
diriyah_gate,2021-03-31,0.142467,0.145661,-0.003194,7,False
diriyah_gate,2021-04-20,0.130702,0.146156,-0.015454,7,False
diriyah_gate,2021-05-05,0.136398,0.125923,+0.010475,6,False
diriyah_gate,2021-06-14,0.152504,0.131181,+0.021323,6,False
diriyah_gate,2021-07-24,0.130504,0.126864,+0.003640,6,False
diriyah_gate,2021-08-03,0.128084,0.120594,+0.007490,6,False
diriyah_gate,2021-09-07,0.132098,0.130289,+0.001809,6,False
diriyah_gate,2021-10-27,0.142990,0.139679,+0.003311,6,False
diriyah_gate,2021-11-21,0.148236,0.141777,+0.006459,6,False
diriyah_gate,2021-12-01,0.160051,0.157764,+0.002287,6,False
diriyah_gate,2022-01-10,0.144899,0.156166,-0.011267,7,False
diriyah_gate,2022-02-04,0.137404,0.150748,-0.013344,7,False
diriyah_gate,2022-03-16,0.148123,0.145661,+0.002462,7,False
diriyah_gate,2022-04-10,0.118058,0.146156,-0.028098,7,False
diriyah_gate,2022-05-10,0.099733,0.125923,-0.026190,6,False
diriyah_gate,2022-06-09,0.133589,0.131181,+0.002409,6,False
diriyah_gate,2022-07-04,0.132995,0.126864,+0.006131,6,False
diriyah_gate,2022-08-18,0.123374,0.120594,+0.002780,6,False
diriyah_gate,2022-09-07,0.136129,0.130289,+0.005840,6,False
diriyah_gate,2022-10-12,0.144021,0.139679,+0.004342,6,False
diriyah_gate,2022-11-21,0.145399,0.141777,+0.003622,6,False
diriyah_gate,2022-12-11,0.154789,0.157764,-0.002975,6,False
diriyah_gate,2023-01-20,0.160601,0.156166,+0.004435,7,False
diriyah_gate,2023-02-24,0.178502,0.150748,+0.027754,7,False
diriyah_gate,2023-03-16,0.163931,0.145661,+0.018270,7,False
diriyah_gate,2023-04-30,0.159385,0.146156,+0.013229,7,False
diriyah_gate,2023-05-05,0.137478,0.125923,+0.011555,6,False
diriyah_gate,2023-06-24,0.128980,0.131181,-0.002200,6,False
diriyah_gate,2023-07-19,0.132422,0.126864,+0.005558,6,False
diriyah_gate,2023-08-18,0.121926,0.120594,+0.001332,6,False
diriyah_gate,2023-09-12,0.126564,0.130289,-0.003725,6,False
diriyah_gate,2023-10-02,0.133742,0.139679,-0.005937,6,False
diriyah_gate,2023-11-21,0.128690,0.141777,-0.013087,6,False
diriyah_gate,2023-12-01,0.174454,0.157764,+0.016690,6,False
diriyah_gate,2024-01-05,0.137282,0.156166,-0.018884,7,False
diriyah_gate,2024-02-29,0.172512,0.150748,+0.021764,7,False
diriyah_gate,2024-03-10,0.145109,0.145661,-0.000552,7,False
diriyah_gate,2024-04-04,0.156003,0.146156,+0.009847,7,False
diriyah_gate,2024-05-19,0.141462,0.125923,+0.015539,6,False
diriyah_gate,2024-06-23,0.132229,0.131181,+0.001049,6,False
diriyah_gate,2024-07-08,0.124742,0.126864,-0.002122,6,False
diriyah_gate,2024-08-02,0.125802,0.120594,+0.005208,6,False
diriyah_gate,2024-09-16,0.119039,0.130289,-0.011250,6,False
diriyah_gate,2024-10-01,0.141288,0.139679,+0.001609,6,False
diriyah_gate,2024-11-05,0.139623,0.141777,-0.002154,6,False
diriyah_gate,2024-12-25,0.149547,0.157764,-0.008217,6,False
diriyah_gate,2025-01-19,0.183656,0.156166,+0.027490,7,False
diriyah_gate,2025-02-08,0.138461,0.150748,-0.012287,7,False
diriyah_gate,2025-03-15,0.150044,0.145661,+0.004383,7,False
diriyah_gate,2025-04-24,0.134050,0.146156,-0.012106,7,False
diriyah_gate,2025-05-09,0.119515,0.125923,-0.006408,6,False
diriyah_gate,2025-06-05,0.125490,0.131181,-0.005691,6,False
diriyah_gate,2025-07-03,0.125212,0.126864,-0.001652,6,False
diriyah_gate,2025-08-04,0.111202,0.120594,-0.009392,6,False
diriyah_gate,2025-09-21,0.137788,0.130289,+0.007499,6,False
diriyah_gate,2025-10-11,0.138990,0.139679,-0.000689,6,False
diriyah_gate,2025-11-25,0.146760,0.141777,+0.004983,6,False
diriyah_gate,2025-12-30,0.155700,0.157764,-0.002064,6,False
diriyah_gate,2026-01-04,0.177497,0.156166,+0.021331,7,False
diriyah_gate,2026-02-13,0.153622,0.150748,+0.002874,7,False
diriyah_gate,2026-03-25,0.148744,0.145661,+0.003083,7,False
diriyah_gate,2026-04-14,0.208728,0.146156,+0.062572,7,False
king_salman_park,2020-01-31,0.078176,0.075877,+0.002299,7,False
king_salman_park,2020-02-15,0.078865,0.075986,+0.002879,7,False
king_salman_park,2020-03-01,0.066018,0.073169,-0.007151,7,False
king_salman_park,2020-04-25,0.056072,0.070815,-0.014743,6,False
king_salman_park,2020-05-30,0.068733,0.070070,-0.001337,6,False
king_salman_park,2020-06-04,0.062711,0.070514,-0.007803,6,False
king_salman_park,2020-07-04,0.065631,0.067542,-0.001911,6,False
king_salman_park,2020-08-03,0.056867,0.055492,+0.001375,6,False
king_salman_park,2020-09-12,0.071765,0.067836,+0.003929,6,False
king_salman_park,2020-10-02,0.074186,0.071710,+0.002476,6,False
king_salman_park,2020-12-11,0.076951,0.078571,-0.001620,6,False
king_salman_park,2021-01-05,0.069234,0.075877,-0.006643,7,False
king_salman_park,2021-02-04,0.070844,0.075986,-0.005142,7,False
king_salman_park,2021-03-31,0.079108,0.073169,+0.005939,7,False
king_salman_park,2021-04-20,0.072897,0.070815,+0.002082,6,False
king_salman_park,2021-05-05,0.074591,0.070070,+0.004521,6,False
king_salman_park,2021-06-14,0.078811,0.070514,+0.008297,6,False
king_salman_park,2021-07-24,0.067102,0.067542,-0.000440,6,False
king_salman_park,2021-08-23,0.056940,0.055492,+0.001448,6,False
king_salman_park,2021-09-07,0.070356,0.067836,+0.002520,6,False
king_salman_park,2021-10-27,0.072006,0.071710,+0.000296,6,False
king_salman_park,2021-11-21,0.067185,0.069045,-0.001860,5,False
king_salman_park,2021-12-01,0.078748,0.078571,+0.000177,6,False
king_salman_park,2022-01-10,0.070714,0.075877,-0.005163,7,False
king_salman_park,2022-02-19,0.087875,0.075986,+0.011889,7,False
king_salman_park,2022-03-16,0.073528,0.073169,+0.000359,7,False
king_salman_park,2022-04-30,0.059102,0.070815,-0.011713,6,False
king_salman_park,2022-05-10,0.059797,0.070070,-0.010273,6,False
king_salman_park,2022-06-09,0.075783,0.070514,+0.005269,6,False
king_salman_park,2022-07-04,0.067761,0.067542,+0.000219,6,False
king_salman_park,2022-08-03,0.037995,0.055492,-0.017497,6,False
king_salman_park,2022-09-07,0.068238,0.067836,+0.000402,6,False
king_salman_park,2022-10-12,0.079524,0.071710,+0.007814,6,False
king_salman_park,2022-11-21,0.067188,0.069045,-0.001857,5,False
king_salman_park,2022-12-11,0.083209,0.078571,+0.004638,6,False
king_salman_park,2023-01-20,0.077557,0.075877,+0.001680,7,False
king_salman_park,2023-02-14,0.074627,0.075986,-0.001359,7,False
king_salman_park,2023-03-16,0.072741,0.073169,-0.000428,7,False
king_salman_park,2023-04-30,0.084764,0.070815,+0.013949,6,False
king_salman_park,2023-05-05,0.070460,0.070070,+0.000390,6,False
king_salman_park,2023-06-24,0.065543,0.070514,-0.004971,6,False
king_salman_park,2023-07-09,0.073588,0.067542,+0.006046,6,False
king_salman_park,2023-08-18,0.057531,0.055492,+0.002039,6,False
king_salman_park,2023-09-12,0.065733,0.067836,-0.002103,6,False
king_salman_park,2023-10-02,0.065151,0.071710,-0.006559,6,False
king_salman_park,2023-11-21,0.055144,0.069045,-0.013901,5,False
king_salman_park,2023-12-01,0.077327,0.078571,-0.001244,6,False
king_salman_park,2024-01-05,0.062691,0.075877,-0.013186,7,False
king_salman_park,2024-02-24,0.072252,0.075986,-0.003734,7,False
king_salman_park,2024-03-10,0.072919,0.073169,-0.000250,7,False
king_salman_park,2024-04-04,0.081584,0.070815,+0.010769,6,False
king_salman_park,2024-05-04,0.080814,0.070070,+0.010744,6,False
king_salman_park,2024-06-23,0.073126,0.070514,+0.002612,6,False
king_salman_park,2024-07-08,0.064935,0.067542,-0.002607,6,False
king_salman_park,2024-08-02,0.060619,0.055492,+0.005127,6,False
king_salman_park,2024-09-16,0.060165,0.067836,-0.007671,6,False
king_salman_park,2024-10-01,0.066731,0.071710,-0.004979,6,False
king_salman_park,2024-11-05,0.070237,0.069045,+0.001192,5,False
king_salman_park,2024-12-25,0.070995,0.078571,-0.007576,6,False
king_salman_park,2025-01-19,0.088339,0.075877,+0.012462,7,False
king_salman_park,2025-02-08,0.072618,0.075986,-0.003368,7,False
king_salman_park,2025-03-15,0.072359,0.073169,-0.000810,7,False
king_salman_park,2025-04-09,0.070473,0.070815,-0.000342,6,False
king_salman_park,2025-05-09,0.066023,0.070070,-0.004047,6,False
king_salman_park,2025-06-05,0.067111,0.070514,-0.003403,6,False
king_salman_park,2025-07-03,0.066236,0.067542,-0.001306,6,False
king_salman_park,2025-08-12,0.062999,0.055492,+0.007507,6,False
king_salman_park,2025-09-21,0.070760,0.067836,+0.002924,6,False
king_salman_park,2025-10-11,0.072664,0.071710,+0.000954,6,False
king_salman_park,2025-11-25,0.085470,0.069045,+0.016425,5,False
king_salman_park,2025-12-30,0.084196,0.078571,+0.005625,6,False
king_salman_park,2026-01-04,0.084428,0.075877,+0.008551,7,False
king_salman_park,2026-02-13,0.074823,0.075986,-0.001163,7,False
king_salman_park,2026-03-25,0.075512,0.073169,+0.002343,7,False
qiddiya_core,2020-01-31,0.084237,0.072513,+0.011724,7,False
qiddiya_core,2020-02-15,0.090105,0.075761,+0.014344,7,False
qiddiya_core,2020-03-01,0.076720,0.072171,+0.004549,7,False
qiddiya_core,2020-04-25,0.064220,0.068628,-0.004408,7,False
qiddiya_core,2020-05-30,0.077229,0.071069,+0.006160,6,False
qiddiya_core,2020-06-04,0.068422,0.070220,-0.001798,6,False
qiddiya_core,2020-07-04,0.069474,0.066840,+0.002634,6,False
qiddiya_core,2020-08-03,0.062373,0.052091,+0.010282,6,False
qiddiya_core,2020-09-12,0.075359,0.064835,+0.010524,6,False
qiddiya_core,2020-10-02,0.072394,0.065702,+0.006692,6,False
qiddiya_core,2020-11-11,0.058936,0.057401,+0.001535,6,False
qiddiya_core,2020-12-11,0.075142,0.071478,+0.003664,6,False
qiddiya_core,2021-01-05,0.066755,0.072513,-0.005758,7,False
qiddiya_core,2021-02-14,0.072063,0.075761,-0.003698,7,False
qiddiya_core,2021-03-31,0.072718,0.072171,+0.000547,7,False
qiddiya_core,2021-04-20,0.075610,0.068628,+0.006982,7,False
qiddiya_core,2021-05-05,0.075032,0.071069,+0.003963,6,False
qiddiya_core,2021-06-14,0.075143,0.070220,+0.004923,6,False
qiddiya_core,2021-07-09,0.069401,0.066840,+0.002561,6,False
qiddiya_core,2021-08-23,0.056231,0.052091,+0.004140,6,False
qiddiya_core,2021-09-07,0.065148,0.064835,+0.000313,6,False
qiddiya_core,2021-10-27,0.062791,0.065702,-0.002911,6,False
qiddiya_core,2021-11-21,0.055787,0.057401,-0.001614,6,False
qiddiya_core,2021-12-01,0.070113,0.071478,-0.001365,6,False
qiddiya_core,2022-01-10,0.066972,0.072513,-0.005541,7,False
qiddiya_core,2022-02-04,0.073542,0.075761,-0.002219,7,False
qiddiya_core,2022-03-16,0.074177,0.072171,+0.002006,7,False
qiddiya_core,2022-04-30,0.060929,0.068628,-0.007699,7,False
qiddiya_core,2022-05-10,0.063844,0.071069,-0.007225,6,False
qiddiya_core,2022-06-09,0.078273,0.070220,+0.008053,6,False
qiddiya_core,2022-07-04,0.067783,0.066840,+0.000943,6,False
qiddiya_core,2022-08-03,0.035247,0.052091,-0.016844,6,False
qiddiya_core,2022-09-07,0.073377,0.064835,+0.008542,6,False
qiddiya_core,2022-10-12,0.078460,0.065702,+0.012758,6,False
qiddiya_core,2022-11-21,0.059178,0.057401,+0.001777,6,False
qiddiya_core,2022-12-11,0.077700,0.071478,+0.006222,6,False
qiddiya_core,2023-01-20,0.076647,0.072513,+0.004134,7,False
qiddiya_core,2023-02-24,0.091483,0.075761,+0.015722,7,False
qiddiya_core,2023-03-16,0.079434,0.072171,+0.007263,7,False
qiddiya_core,2023-04-30,0.085704,0.068628,+0.017076,7,False
qiddiya_core,2023-05-05,0.079134,0.071069,+0.008065,6,False
qiddiya_core,2023-06-24,0.067744,0.070220,-0.002476,6,False
qiddiya_core,2023-07-09,0.069200,0.066840,+0.002360,6,False
qiddiya_core,2023-08-18,0.052401,0.052091,+0.000310,6,False
qiddiya_core,2023-09-12,0.061689,0.064835,-0.003146,6,False
qiddiya_core,2023-10-02,0.059468,0.065702,-0.006234,6,False
qiddiya_core,2023-11-21,0.050818,0.057401,-0.006583,6,False
qiddiya_core,2023-12-01,0.065307,0.071478,-0.006171,6,False
qiddiya_core,2024-01-05,0.051732,0.072513,-0.020781,7,False
qiddiya_core,2024-02-29,0.074184,0.075761,-0.001577,7,False
qiddiya_core,2024-03-10,0.071557,0.072171,-0.000614,7,False
qiddiya_core,2024-04-24,0.076408,0.068628,+0.007780,7,False
qiddiya_core,2024-05-04,0.072043,0.071069,+0.000974,6,False
qiddiya_core,2024-06-23,0.069453,0.070220,-0.000767,6,False
qiddiya_core,2024-07-08,0.064038,0.066840,-0.002802,6,False
qiddiya_core,2024-08-02,0.056850,0.052091,+0.004759,6,False
qiddiya_core,2024-09-16,0.053799,0.064835,-0.011036,6,False
qiddiya_core,2024-10-01,0.058635,0.065702,-0.007067,6,False
qiddiya_core,2024-11-05,0.057964,0.057401,+0.000563,6,False
qiddiya_core,2024-12-15,0.066934,0.071478,-0.004544,6,False
qiddiya_core,2025-01-19,0.079828,0.072513,+0.007315,7,False
qiddiya_core,2025-02-08,0.066160,0.075761,-0.009601,7,False
qiddiya_core,2025-03-30,0.069888,0.072171,-0.002283,7,False
qiddiya_core,2025-04-09,0.063784,0.068628,-0.004844,7,False
qiddiya_core,2025-05-09,0.059134,0.071069,-0.011935,6,False
qiddiya_core,2025-06-05,0.062283,0.070220,-0.007937,6,False
qiddiya_core,2025-07-03,0.061146,0.066840,-0.005694,6,False
qiddiya_core,2025-08-04,0.049443,0.052091,-0.002648,6,False
qiddiya_core,2025-09-01,0.059636,0.064835,-0.005199,6,False
qiddiya_core,2025-10-11,0.062464,0.065702,-0.003238,6,False
qiddiya_core,2025-11-25,0.061721,0.057401,+0.004320,6,False
qiddiya_core,2025-12-30,0.073672,0.071478,+0.002194,6,False
qiddiya_core,2026-01-29,0.081423,0.072513,+0.008910,7,False
qiddiya_core,2026-02-13,0.062792,0.075761,-0.012969,7,False
qiddiya_core,2026-03-25,0.060700,0.072171,-0.011471,7,False
qiddiya_core,2026-04-14,0.053739,0.068628,-0.014889,7,False
