date,sub_aoi,final_label,ref_date,dbb_faithful,n_valid_pixels,n_total_pixels,notes
2021-02,king_salman_park,clean,2023-10-27,-0.08848341923572002,41989,41604,test_id=20210204T073111_20210204T073144_T38RPN;test_date=2021-02-04;ref_id=20231027T073009_20231027T073145_T38RPN
2021-07,king_salman_park,clean,2023-10-27,0.006398107706370126,41989,41604,test_id=20210724T072621_20210724T073151_T38RPN;test_date=2021-07-24;ref_id=20231027T073009_20231027T073145_T38RPN
2022-04,king_salman_park,light_haze,2023-10-27,-0.06374261620020176,41989,41604,test_id=20220430T072621_20220430T073152_T38RPN;test_date=2022-04-30;ref_id=20231027T073009_20231027T073145_T38RPN
2022-06,king_salman_park,light_haze,2023-10-27,0.06391948961145731,41989,41604,test_id=20220609T072621_20220609T073156_T38RPN;test_date=2022-06-09;ref_id=20231027T073009_20231027T073145_T38RPN
2022-07,king_salman_park,light_haze,2023-10-27,0.10304038214831665,41989,41604,test_id=20220704T072619_20220704T073152_T38RPN;test_date=2022-07-04;ref_id=20231027T073009_20231027T073145_T38RPN
2023-01,king_salman_park,clean,2023-10-27,-0.105844219399638,41989,41604,test_id=20230120T073129_20230120T073142_T38RPN;test_date=2023-01-20;ref_id=20231027T073009_20231027T073145_T38RPN
2024-01,king_salman_park,clean,2023-10-27,-0.053388661661936065,41989,41604,test_id=20240105T073219_20240105T073216_T38RPN;test_date=2024-01-05;ref_id=20231027T073009_20231027T073145_T38RPN
2024-08,king_salman_park,heavy_dust,2023-10-27,0.2178440536291006,41989,41604,test_id=20240802T072619_20240802T073147_T38RPN;test_date=2024-08-02;ref_id=20231027T073009_20231027T073145_T38RPN
2025-02,king_salman_park,clean,2023-10-27,0.02439273169040892,41989,41604,test_id=20250208T072959_20250208T073146_T38RPN;test_date=2025-02-08;ref_id=20231027T073009_20231027T073145_T38RPN
2025-12,king_salman_park,clean,2023-10-27,-0.021420487665467412,41989,41604,test_id=20251230T073331_20251230T074157_T38RPN;test_date=2025-12-30;ref_id=20231027T073009_20231027T073145_T38RPN
2026-01,king_salman_park,clean,2023-10-27,-0.021666252531838313,41989,41604,test_id=20260104T073219_20260104T074234_T38RPN;test_date=2026-01-04;ref_id=20231027T073009_20231027T073145_T38RPN
2020-01,qiddiya_core,clean,2024-01-20,-0.01585284064393843,41775,41447,test_id=20200131T073131_20200131T073131_T38RPN;test_date=2020-01-31;ref_id=20240120T073221_20240120T073222_T38RPN
2020-07,qiddiya_core,clean,2024-01-20,0.10948946782976923,41774,41447,test_id=20200704T072619_20200704T073413_T38RPN;test_date=2020-07-04;ref_id=20240120T073221_20240120T073222_T38RPN
2021-03,qiddiya_core,clean,2024-01-20,0.12050768631807322,41775,41447,test_id=20210331T072619_20210331T073145_T38RPN;test_date=2021-03-31;ref_id=20240120T073221_20240120T073222_T38RPN
2021-08,qiddiya_core,clean,2024-01-20,0.17492417774712263,41775,41447,test_id=20210823T072621_20210823T074028_T38RPN;test_date=2021-08-23;ref_id=20240120T073221_20240120T073222_T38RPN
2022-03,qiddiya_core,clean,2024-01-20,0.09074304459915318,41775,41447,test_id=20220316T072639_20220316T073144_T38RPN;test_date=2022-03-16;ref_id=20240120T073221_20240120T073222_T38RPN
2022-04,qiddiya_core,light_haze,2024-01-20,0.10002894599964893,41775,41447,test_id=20220430T072621_20220430T073152_T38RPN;test_date=2022-04-30;ref_id=20240120T073221_20240120T073222_T38RPN
2022-09,qiddiya_core,light_haze,2024-01-20,0.10061842447198005,41775,41447,test_id=20220907T072631_20220907T073159_T38RPN;test_date=2022-09-07;ref_id=20240120T073221_20240120T073222_T38RPN
2023-09,qiddiya_core,clean,2024-01-20,0.16870262877610975,41775,41447,test_id=20230912T072621_20230912T073904_T38RPN;test_date=2023-09-12;ref_id=20240120T073221_20240120T073222_T38RPN
2024-02,qiddiya_core,clean,2024-01-20,0.07878853415123173,41775,41447,test_id=20240229T072841_20240229T073147_T38RPN;test_date=2024-02-29;ref_id=20240120T073221_20240120T073222_T38RPN
2024-11,qiddiya_core,clean,2024-01-20,0.04736667232134698,41699,41447,test_id=20241105T073101_20241105T073141_T38RPN;test_date=2024-11-05;ref_id=20240120T073221_20240120T073222_T38RPN
2025-04,qiddiya_core,clean,2024-01-20,0.10877286564384488,41775,41447,test_id=20250409T072619_20250409T073148_T38RPN;test_date=2025-04-09;ref_id=20240120T073221_20240120T073222_T38RPN
2025-07,qiddiya_core,clean,2024-01-20,0.17314126129420385,41775,41447,test_id=20250703T072641_20250703T073357_T38RPN;test_date=2025-07-03;ref_id=20240120T073221_20240120T073222_T38RPN
2026-03,qiddiya_core,clean,2024-01-20,-0.010876724021409535,41775,41447,test_id=20260325T072609_20260325T073824_T38RPN;test_date=2026-03-25;ref_id=20240120T073221_20240120T073222_T38RPN
2020-04,diriyah_gate,clean,2020-04-25,0,18391,18141,test_id=20200425T072609_20200425T073431_T38RPN;test_date=2020-04-25;ref_id=20200425T072609_20200425T073431_T38RPN
2021-11,diriyah_gate,cloud,2020-04-25,-0.09709683214211301,18391,18141,test_id=20211121T073221_20211121T073219_T38RPN;test_date=2021-11-21;ref_id=20200425T072609_20200425T073431_T38RPN
2022-12,diriyah_gate,clean,2020-04-25,-0.2752111930372566,18391,18141,test_id=20221211T073219_20221211T073217_T38RPN;test_date=2022-12-11;ref_id=20200425T072609_20200425T073431_T38RPN
2023-05,diriyah_gate,clean,2020-04-25,0.006022587962632177,18391,18141,test_id=20230505T072621_20230505T073147_T38RPN;test_date=2023-05-05;ref_id=20200425T072609_20200425T073431_T38RPN
2024-08,diriyah_gate,clean,2020-04-25,0.02736149340472904,18391,18141,test_id=20240802T072619_20240802T073147_T38RPN;test_date=2024-08-02;ref_id=20200425T072609_20200425T073431_T38RPN
2025-02,diriyah_gate,clean,2020-04-25,-0.09862932303387573,18391,18141,test_id=20250208T072959_20250208T073146_T38RPN;test_date=2025-02-08;ref_id=20200425T072609_20200425T073431_T38RPN
